"diff_id","del","ins","mod","total","dummy"
"1557",0,0,4,4,"dummy"
"1558",2,3,1,6,"dummy"
"1560",0,1,1,2,"dummy"
"1561",3,8,5,16,"dummy"
"1562",2,1,2,5,"dummy"
"1563",1,6,2,9,"dummy"
"1564",0,0,1,1,"dummy"
"1565",0,0,2,2,"dummy"
"1566",0,0,1,1,"dummy"
"1573",0,4,0,4,"dummy"
"1574",2,1,1,4,"dummy"
"1575",0,0,1,1,"dummy"
"1600",2,3,2,7,"dummy"
"1601",2,3,0,5,"dummy"
"1602",0,2,0,2,"dummy"
"1603",1,1,0,2,"dummy"
"1604",0,0,1,1,"dummy"
"1605",1,6,0,7,"dummy"
"1606",0,0,0,0,"dummy"
"1607",10,3,1,14,"dummy"
"1608",6,3,0,9,"dummy"
"1609",15,20,2,37,"dummy"
"1610",0,1,0,1,"dummy"
"1611",5,3,1,9,"dummy"
"1612",0,0,1,1,"dummy"
"1613",6,6,0,12,"dummy"
"1614",6,8,0,14,"dummy"
"1615",0,0,3,3,"dummy"
"1616",3,9,0,12,"dummy"
"1617",0,0,2,2,"dummy"
"1618",0,0,2,2,"dummy"
"1619",0,1,0,1,"dummy"
"1620",0,1,0,1,"dummy"
"1621",2,1,0,3,"dummy"
"1622",0,2,0,2,"dummy"
"1623",0,0,1,1,"dummy"
"1624",0,1,0,1,"dummy"
"1625",0,1,0,1,"dummy"
"1626",0,0,1,1,"dummy"
"1627",2,5,0,7,"dummy"
"1628",0,1,0,1,"dummy"
"1629",1,2,0,3,"dummy"
"1630",1,3,1,5,"dummy"
"1631",0,1,0,1,"dummy"
"1632",12,3,0,15,"dummy"
"1633",0,0,2,2,"dummy"
"1634",1,0,1,2,"dummy"
"1635",0,1,0,1,"dummy"
"1636",0,0,1,1,"dummy"
"1637",0,0,1,1,"dummy"
"1638",0,2,0,2,"dummy"
"1640",0,0,4,4,"dummy"
"1641",1,0,0,1,"dummy"
"1642",0,1,0,1,"dummy"
"1643",3,2,0,5,"dummy"
"1644",0,1,0,1,"dummy"
"1645",5,3,0,8,"dummy"
"1647",0,4,0,4,"dummy"
"1648",0,2,0,2,"dummy"
"1649",1,9,0,10,"dummy"
"1650",0,0,2,2,"dummy"
"1651",0,1,0,1,"dummy"
"1652",0,8,0,8,"dummy"
"1653",0,1,0,1,"dummy"
"1654",0,1,0,1,"dummy"
"1655",15,6,0,21,"dummy"
"1656",0,0,0,0,"dummy"
"1657",0,0,1,1,"dummy"
"1658",0,0,0,0,"dummy"
"1659",0,0,0,0,"dummy"
"1660",2,1,1,4,"dummy"
"1661",1,0,1,2,"dummy"
"1662",0,0,0,0,"dummy"
"1663",0,0,1,1,"dummy"
"1664",0,0,1,1,"dummy"
"1665",0,0,1,1,"dummy"
"1666",0,0,1,1,"dummy"
"1667",0,0,1,1,"dummy"
"1668",0,0,1,1,"dummy"
"1669",0,0,1,1,"dummy"
"1670",0,0,1,1,"dummy"
"1675",5,0,0,5,"dummy"
"1677",0,4,0,4,"dummy"
"1680",0,0,0,0,"dummy"
"1681",0,0,1,1,"dummy"
"1682",0,2,0,2,"dummy"
"1683",0,4,0,4,"dummy"
"1684",0,1,0,1,"dummy"
"1685",0,3,1,4,"dummy"
"1688",0,1,0,1,"dummy"
